Time,Annotation,Vector-4,,,,Head,,,ChinCenter,,,MouthLowerlipMidbottom,,,MouthLowerlipMidtop,,,NoseBottom,,,NoseTip,,,MouthUpperlipMidtop,,,NoseTop,,,ForeheadCenter,,,MouthLeftcorner,,,LefteyebrowOuter,,,NoseTopleft,,,NoseBottomleft,,,LefteyeInnercorner,,,LefteyebrowCenter,,,LefteyeMidtop,,,LefteyebrowInner,,,LeftcheekCenter,,,Leftcheekbone,,,LefteyeOutercorner,,,Rightcheekbone,,,MouthRightcorner,,,RighteyeMidtop,,,RighteyebrowOuter,,,NoseTopright,,,NoseBottomright,,,RighteyebrowInner,,,RighteyeInnercorner,,,RighteyebrowCenter,,,RightcheekCenter,,,MouthUpperlipMidbottom,,,RighteyeMidbottom,,,LefteyeMidbottom,,,RighteyeOutercorner,,,LowerjawLeftend,,,
T,A,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
21:41:22,,0.9956688,-0.04421311,-0.07277861,0.0373118,0.01388313,0.1313564,0.9439825,0.001776239,-0.03583231,0.4045113,0.000641233,-0.01353973,0.3928479,0.0002457525,-0.003017365,0.3910999,-9.544183E-05,0.02456489,0.3891078,1.868381E-05,0.03956943,0.3762838,-0.000163161,0.009435142,0.3865953,-4.605106E-05,0.0772228,0.3979537,2.511823E-05,0.1219274,0.3976723,-0.02339563,-0.002206373,0.4037621,-0.05946657,0.08247018,0.4244114,-0.01235853,0.06868242,0.4072765,-0.01696155,0.02673333,0.3983641,-0.02054292,0.07305926,0.4138401,-0.0407264,0.09308428,0.4060175,-0.03050853,0.07676774,0.4096533,-0.01794393,0.08706858,0.400719,-0.0587401,0.01665104,0.4275841,-0.05769852,0.04948714,0.4210124,-0.04679601,0.07296448,0.4176424,0.05754835,0.04931479,0.4207381,0.02276009,-0.002796527,0.4034991,0.03007561,0.07598193,0.4096804,0.05941966,0.08199101,0.4245782,0.01237397,0.06875587,0.4073025,0.01693887,0.026585,0.3983671,0.01732817,0.08668685,0.4005731,0.02054896,0.07259797,0.4138851,0.04083397,0.09226171,0.405657,0.05897588,0.01665594,0.4268411,-0.000246681,0.0001304678,0.3894778,0.03108216,0.06911585,0.4119241,-0.03139221,0.06979659,0.4118496,0.04661747,0.07273843,0.4178702,-0.05945638,-0.01341199,0.4667672,
21:41:22,,0.9966889,-0.04379473,-0.06019039,0.03271744,0.01453265,0.1303987,0.9438272,0.002656365,-0.03532668,0.4041936,0.001208014,-0.01289246,0.3927381,0.000620321,-0.002423931,0.3910809,-7.068256E-05,0.02459212,0.3891762,1.726342E-05,0.03956574,0.3762922,-0.0001039183,0.00945772,0.3867086,-4.006061E-05,0.07733536,0.3979938,2.142284E-05,0.1220784,0.397707,-0.02328168,-0.002047517,0.4035772,-0.05952196,0.08250237,0.4244676,-0.01238067,0.06865866,0.4072841,-0.01698806,0.02675433,0.3984039,-0.02055864,0.07305986,0.4138407,-0.04094293,0.09324031,0.4060897,-0.03052753,0.0767768,0.4096635,-0.0180962,0.08734463,0.4007317,-0.05869694,0.01672436,0.4273275,-0.05770779,0.04946085,0.4209761,-0.04680768,0.07296671,0.4176506,0.05756218,0.04940888,0.420822,0.02309878,-0.00234358,0.4036158,0.0302426,0.0763569,0.4096538,0.05952654,0.08222285,0.4245826,0.01239283,0.0687454,0.407303,0.01696708,0.02667428,0.3984503,0.01765267,0.08722937,0.4005414,0.02058386,0.07277147,0.4138396,0.04121104,0.09281742,0.4058077,0.05912009,0.01689628,0.4270679,-0.0001714137,0.0001577835,0.3896429,0.03120283,0.06927072,0.4119238,-0.03139986,0.06979246,0.411849,0.04666403,0.07285545,0.4177987,-0.05922185,-0.01338699,0.4663408,
21:41:22,,0.9966889,-0.04379473,-0.06019039,0.03271744,0.01453265,0.1303987,0.9438272,0.002656365,-0.03532668,0.4041936,0.001208014,-0.01289246,0.3927381,0.000620321,-0.002423931,0.3910809,-7.068256E-05,0.02459212,0.3891762,1.726342E-05,0.03956574,0.3762922,-0.0001039183,0.00945772,0.3867086,-4.006061E-05,0.07733536,0.3979938,2.142284E-05,0.1220784,0.397707,-0.02328168,-0.002047517,0.4035772,-0.05952196,0.08250237,0.4244676,-0.01238067,0.06865866,0.4072841,-0.01698806,0.02675433,0.3984039,-0.02055864,0.07305986,0.4138407,-0.04094293,0.09324031,0.4060897,-0.03052753,0.0767768,0.4096635,-0.0180962,0.08734463,0.4007317,-0.05869694,0.01672436,0.4273275,-0.05770779,0.04946085,0.4209761,-0.04680768,0.07296671,0.4176506,0.05756218,0.04940888,0.420822,0.02309878,-0.00234358,0.4036158,0.0302426,0.0763569,0.4096538,0.05952654,0.08222285,0.4245826,0.01239283,0.0687454,0.407303,0.01696708,0.02667428,0.3984503,0.01765267,0.08722937,0.4005414,0.02058386,0.07277147,0.4138396,0.04121104,0.09281742,0.4058077,0.05912009,0.01689628,0.4270679,-0.0001714137,0.0001577835,0.3896429,0.03120283,0.06927072,0.4119238,-0.03139986,0.06979246,0.411849,0.04666403,0.07285545,0.4177987,-0.05922185,-0.01338699,0.4663408,
21:41:22,,0.9971869,-0.04313245,-0.05456959,0.02792929,0.01404905,0.1306657,0.9432871,0.003344582,-0.03536418,0.4042971,0.001733978,-0.01303645,0.3928033,0.0009912598,-0.002567012,0.3911391,-3.960414E-05,0.02458719,0.3891898,1.710739E-05,0.03956588,0.3762941,-1.647425E-05,0.009461687,0.3867281,-3.489366E-05,0.07735899,0.3980011,1.79779E-05,0.1221251,0.3977141,-0.0229762,-0.002335446,0.403678,-0.05946709,0.08263002,0.4243001,-0.01235744,0.0687139,0.4072659,-0.01700413,0.02670631,0.3984698,-0.02055338,0.07322288,0.4137803,-0.04073513,0.0933227,0.4059643,-0.03061786,0.07714008,0.4095932,-0.01802027,0.08726401,0.4005906,-0.05839211,0.01655593,0.4270916,-0.05765158,0.04940728,0.4209295,-0.04679947,0.07308606,0.4175597,0.05764393,0.04945063,0.4208549,0.02336564,-0.002329093,0.4037518,0.03051386,0.07707004,0.4095746,0.05960502,0.08259201,0.4244496,0.01238702,0.06879808,0.4072811,0.01700222,0.02668875,0.3984465,0.01786742,0.08770028,0.4003617,0.02061377,0.0731118,0.4137457,0.04150766,0.09352829,0.40585,0.05938933,0.01694911,0.4271392,-5.492286E-05,0.000166164,0.3896586,0.03142884,0.06958675,0.41192,-0.03149392,0.06990466,0.4118605,0.04672728,0.07308167,0.417636,-0.05894064,-0.01352665,0.4660984,
21:41:22,,0.9971869,-0.04313245,-0.05456959,0.02792929,0.01404905,0.1306657,0.9432871,0.003344582,-0.03536418,0.4042971,0.001733978,-0.01303645,0.3928033,0.0009912598,-0.002567012,0.3911391,-3.960414E-05,0.02458719,0.3891898,1.710739E-05,0.03956588,0.3762941,-1.647425E-05,0.009461687,0.3867281,-3.489366E-05,0.07735899,0.3980011,1.79779E-05,0.1221251,0.3977141,-0.0229762,-0.002335446,0.403678,-0.05946709,0.08263002,0.4243001,-0.01235744,0.0687139,0.4072659,-0.01700413,0.02670631,0.3984698,-0.02055338,0.07322288,0.4137803,-0.04073513,0.0933227,0.4059643,-0.03061786,0.07714008,0.4095932,-0.01802027,0.08726401,0.4005906,-0.05839211,0.01655593,0.4270916,-0.05765158,0.04940728,0.4209295,-0.04679947,0.07308606,0.4175597,0.05764393,0.04945063,0.4208549,0.02336564,-0.002329093,0.4037518,0.03051386,0.07707004,0.4095746,0.05960502,0.08259201,0.4244496,0.01238702,0.06879808,0.4072811,0.01700222,0.02668875,0.3984465,0.01786742,0.08770028,0.4003617,0.02061377,0.0731118,0.4137457,0.04150766,0.09352829,0.40585,0.05938933,0.01694911,0.4271392,-5.492286E-05,0.000166164,0.3896586,0.03142884,0.06958675,0.41192,-0.03149392,0.06990466,0.4118605,0.04672728,0.07308167,0.417636,-0.05894064,-0.01352665,0.4660984,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.001323762,-0.03532332,0.4037973,0.0009656664,-0.01046319,0.394508,0.0006909278,-0.0003103161,0.3943467,8.38807E-05,0.02499072,0.3908232,2.853621E-06,0.03970638,0.3765778,0.0002196124,0.0105374,0.3895791,-4.402202E-06,0.07809673,0.3982667,-1.247415E-06,0.1231135,0.3979457,-0.02590464,0.0005330537,0.4062743,-0.05999427,0.08312074,0.4247064,-0.01251943,0.06858832,0.4073206,-0.01768197,0.02799063,0.4003388,-0.02071483,0.07341813,0.4137184,-0.04280376,0.09508134,0.40659,-0.03092467,0.07765558,0.4096196,-0.01930828,0.08974836,0.4005824,-0.05947312,0.01795174,0.4272572,-0.05784359,0.04987479,0.4211483,-0.04691454,0.07324813,0.4175427,0.05793814,0.05003719,0.4213504,0.02696,0.0007560536,0.4070454,0.03109382,0.0781586,0.4095563,0.06017184,0.083413,0.4247543,0.01253863,0.06860764,0.4073208,0.01778653,0.02807152,0.4004177,0.01964631,0.09044311,0.4005165,0.02079007,0.07359498,0.4136292,0.04346618,0.09585237,0.4067914,0.06021764,0.01808304,0.4279694,0.0002518689,0.00119294,0.3936298,0.03179579,0.06999245,0.4119158,-0.03167585,0.06999047,0.411876,0.04691457,0.07341389,0.4174843,-0.05946172,-0.01286641,0.4661794,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.001323762,-0.03532332,0.4037973,0.0009656664,-0.01046319,0.394508,0.0006909278,-0.0003103161,0.3943467,8.38807E-05,0.02499072,0.3908232,2.853621E-06,0.03970638,0.3765778,0.0002196124,0.0105374,0.3895791,-4.402202E-06,0.07809673,0.3982667,-1.247415E-06,0.1231135,0.3979457,-0.02590464,0.0005330537,0.4062743,-0.05999427,0.08312074,0.4247064,-0.01251943,0.06858832,0.4073206,-0.01768197,0.02799063,0.4003388,-0.02071483,0.07341813,0.4137184,-0.04280376,0.09508134,0.40659,-0.03092467,0.07765558,0.4096196,-0.01930828,0.08974836,0.4005824,-0.05947312,0.01795174,0.4272572,-0.05784359,0.04987479,0.4211483,-0.04691454,0.07324813,0.4175427,0.05793814,0.05003719,0.4213504,0.02696,0.0007560536,0.4070454,0.03109382,0.0781586,0.4095563,0.06017184,0.083413,0.4247543,0.01253863,0.06860764,0.4073208,0.01778653,0.02807152,0.4004177,0.01964631,0.09044311,0.4005165,0.02079007,0.07359498,0.4136292,0.04346618,0.09585237,0.4067914,0.06021764,0.01808304,0.4279694,0.0002518689,0.00119294,0.3936298,0.03179579,0.06999245,0.4119158,-0.03167585,0.06999047,0.411876,0.04691457,0.07341389,0.4174843,-0.05946172,-0.01286641,0.4661794,
21:41:22,,0.9995291,-0.02182668,-0.02008005,0.007864285,0.01562999,0.1293836,0.9356645,0.001323762,-0.03532332,0.4037973,0.0009656664,-0.01046319,0.394508,0.0006909278,-0.0003103161,0.3943467,8.38807E-05,0.02499072,0.3908232,2.853621E-06,0.03970638,0.3765778,0.0002196124,0.0105374,0.3895791,-4.402202E-06,0.07809673,0.3982667,-1.247415E-06,0.1231135,0.3979457,-0.02590464,0.0005330537,0.4062743,-0.05999427,0.08312074,0.4247064,-0.01251943,0.06858832,0.4073206,-0.01768197,0.02799063,0.4003388,-0.02071483,0.07341813,0.4137184,-0.04280376,0.09508134,0.40659,-0.03092467,0.07765558,0.4096196,-0.01930828,0.08974836,0.4005824,-0.05947312,0.01795174,0.4272572,-0.05784359,0.04987479,0.4211483,-0.04691454,0.07324813,0.4175427,0.05793814,0.05003719,0.4213504,0.02696,0.0007560536,0.4070454,0.03109382,0.0781586,0.4095563,0.06017184,0.083413,0.4247543,0.01253863,0.06860764,0.4073208,0.01778653,0.02807152,0.4004177,0.01964631,0.09044311,0.4005165,0.02079007,0.07359498,0.4136292,0.04346618,0.09585237,0.4067914,0.06021764,0.01808304,0.4279694,0.0002518689,0.00119294,0.3936298,0.03179579,0.06999245,0.4119158,-0.03167585,0.06999047,0.411876,0.04691457,0.07341389,0.4174843,-0.05946172,-0.01286641,0.4661794,
21:41:22,,0.9990509,-0.02843806,-0.02897676,0.01577974,0.01442045,0.1303769,0.9360079,0.0009991324,-0.03554212,0.403988,0.0006301051,-0.01117237,0.3942547,0.00041661,-0.0009290626,0.3937796,1.836063E-05,0.02492328,0.3904896,2.689284E-06,0.03965512,0.3765209,8.775432E-05,0.01035823,0.3890056,-3.639665E-06,0.07820649,0.3983066,-6.481646E-07,0.1232457,0.3979796,-0.02560638,5.962588E-05,0.4059405,-0.06018147,0.08304987,0.4250226,-0.01258171,0.06849197,0.4073589,-0.01757123,0.02774969,0.3999901,-0.02075629,0.07323597,0.413788,-0.04352803,0.09534171,0.4068951,-0.03086581,0.07726654,0.4097217,-0.01967349,0.09036801,0.4007753,-0.05942143,0.01772632,0.4274864,-0.05781638,0.04983158,0.4211529,-0.04695022,0.07311888,0.4176639,0.05787152,0.04995717,0.4212427,0.02610326,0.0003288495,0.4061632,0.03101915,0.07795674,0.4095799,0.06015538,0.08331177,0.4247985,0.01255272,0.06857798,0.4073314,0.01757731,0.02782653,0.3999807,0.0196596,0.09042208,0.4005761,0.02078328,0.07349823,0.413656,0.04340159,0.09566702,0.4067908,0.05990293,0.01794153,0.4277197,9.493338E-05,0.001016475,0.3928416,0.03173254,0.06990201,0.4119164,-0.0315833,0.0698549,0.4118659,0.04689784,0.07334973,0.4175315,-0.05958997,-0.0129367,0.4664746,
