Time,Annotation,Vector-4,,,,Head,,,ChinCenter,,,MouthLowerlipMidbottom,,,MouthLowerlipMidtop,,,NoseBottom,,,NoseTip,,,MouthUpperlipMidtop,,,NoseTop,,,ForeheadCenter,,,MouthLeftcorner,,,LefteyebrowOuter,,,NoseTopleft,,,NoseBottomleft,,,LefteyeInnercorner,,,LefteyebrowCenter,,,LefteyeMidtop,,,LefteyebrowInner,,,LeftcheekCenter,,,Leftcheekbone,,,LefteyeOutercorner,,,Rightcheekbone,,,MouthRightcorner,,,RighteyeMidtop,,,RighteyebrowOuter,,,NoseTopright,,,NoseBottomright,,,RighteyebrowInner,,,RighteyeInnercorner,,,RighteyebrowCenter,,,RightcheekCenter,,,MouthUpperlipMidbottom,,,RighteyeMidbottom,,,LefteyeMidbottom,,,RighteyeOutercorner,,,LowerjawLeftend,,,
T,A,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
21:09:25,,0.9944438,-0.1049555,0.003902075,0.007121301,0.008064426,0.2321914,0.936345,0.00366377,-0.03621354,0.404871,0.002222573,-0.01266694,0.394392,0.001411025,-0.002341799,0.3935118,6.359174E-05,0.02475906,0.3901955,-1.770944E-06,0.03956273,0.3764553,0.0001961609,0.01004353,0.388519,9.025565E-06,0.0787085,0.3984877,-7.071731E-06,0.1239471,0.3981406,-0.02452416,-0.001298199,0.4057273,-0.06086872,0.08407427,0.4252826,-0.01271907,0.06848464,0.4073849,-0.0175135,0.02728638,0.3996972,-0.02099165,0.07388517,0.4135631,-0.04624093,0.09820588,0.4075808,-0.03152908,0.0788365,0.4096107,-0.02111759,0.09345777,0.4004844,-0.05856005,0.01689276,0.4270895,-0.05773449,0.04963365,0.4210744,-0.04710837,0.07362347,0.4174419,0.0581114,0.0498219,0.4209293,0.02590792,-0.001277893,0.4061169,0.0311893,0.07836491,0.4095438,0.06024043,0.08354621,0.4247679,0.01261345,0.06854521,0.4073304,0.01764765,0.02737828,0.399468,0.02013242,0.09121508,0.4005255,0.02081213,0.0736897,0.4136047,0.04370657,0.09618512,0.4068938,0.06103956,0.01760707,0.4270068,0.0002157523,0.0007032001,0.3921016,0.03187421,0.07007613,0.411903,-0.0320612,0.0702277,0.4119171,0.04694219,0.07347795,0.417447,-0.05877962,-0.01361873,0.4660009,
21:09:25,,0.9944438,-0.1049555,0.003902075,0.007121301,0.008064426,0.2321914,0.936345,0.00366377,-0.03621354,0.404871,0.002222573,-0.01266694,0.394392,0.001411025,-0.002341799,0.3935118,6.359174E-05,0.02475906,0.3901955,-1.770944E-06,0.03956273,0.3764553,0.0001961609,0.01004353,0.388519,9.025565E-06,0.0787085,0.3984877,-7.071731E-06,0.1239471,0.3981406,-0.02452416,-0.001298199,0.4057273,-0.06086872,0.08407427,0.4252826,-0.01271907,0.06848464,0.4073849,-0.0175135,0.02728638,0.3996972,-0.02099165,0.07388517,0.4135631,-0.04624093,0.09820588,0.4075808,-0.03152908,0.0788365,0.4096107,-0.02111759,0.09345777,0.4004844,-0.05856005,0.01689276,0.4270895,-0.05773449,0.04963365,0.4210744,-0.04710837,0.07362347,0.4174419,0.0581114,0.0498219,0.4209293,0.02590792,-0.001277893,0.4061169,0.0311893,0.07836491,0.4095438,0.06024043,0.08354621,0.4247679,0.01261345,0.06854521,0.4073304,0.01764765,0.02737828,0.399468,0.02013242,0.09121508,0.4005255,0.02081213,0.0736897,0.4136047,0.04370657,0.09618512,0.4068938,0.06103956,0.01760707,0.4270068,0.0002157523,0.0007032001,0.3921016,0.03187421,0.07007613,0.411903,-0.0320612,0.0702277,0.4119171,0.04694219,0.07347795,0.417447,-0.05877962,-0.01361873,0.4660009,
21:09:25,,0.9951112,-0.09746154,-0.005602119,0.0149507,0.006751694,0.2316864,0.936353,0.002459039,-0.03700412,0.4053462,0.001247368,-0.01312869,0.3950073,0.0006793615,-0.002822965,0.394322,-4.127129E-05,0.02472813,0.390491,-1.972811E-06,0.03959599,0.3764944,-5.359441E-05,0.0100857,0.3890715,4.128818E-06,0.07864788,0.3984667,-4.02215E-06,0.123857,0.3981218,-0.02572257,-0.001402179,0.4070827,-0.06085766,0.08397054,0.4253395,-0.0127205,0.06846967,0.4073902,-0.01775333,0.02744791,0.4000439,-0.02098221,0.07378515,0.4135993,-0.04619355,0.09803014,0.4075991,-0.03145868,0.07860764,0.4096454,-0.02106486,0.09331936,0.4005584,-0.05923612,0.01677232,0.4276283,-0.05785732,0.0497188,0.4212059,-0.04710399,0.07354875,0.4174908,0.05813663,0.04961785,0.4207947,0.02582633,-0.001961796,0.4065724,0.03098444,0.07784017,0.4095988,0.0601685,0.08326641,0.4248496,0.01261443,0.06851266,0.4073389,0.01780408,0.02736962,0.399737,0.01991746,0.0907874,0.4006434,0.02078598,0.07344045,0.4136729,0.04344043,0.09562269,0.4068348,0.06101601,0.01719256,0.4265999,-8.515879E-05,0.0007196323,0.3928141,0.03171103,0.06984611,0.4119017,-0.03199888,0.07016249,0.4119092,0.04689278,0.07331188,0.4175636,-0.05923367,-0.0136549,0.4666577,
21:09:26,,0.9948148,-0.09868087,-0.01524945,0.01931779,0.005020979,0.2318461,0.9370315,0.003346916,-0.03503856,0.4038601,0.002100878,-0.01085018,0.3941804,0.00137205,-0.0006997519,0.3937617,0.0001067291,0.02480256,0.3905804,-3.75847E-06,0.03958866,0.3765015,0.0002661935,0.01008585,0.3891836,8.363994E-06,0.07879227,0.3985183,-5.548521E-06,0.1240569,0.3981672,-0.02502146,-0.0005864804,0.4060028,-0.06107485,0.08419967,0.4254882,-0.0127696,0.06843705,0.4074062,-0.01768719,0.02748146,0.4000482,-0.02105046,0.07389323,0.4135638,-0.04704697,0.09879469,0.407848,-0.03160347,0.07888286,0.4096462,-0.02150706,0.09422618,0.4005408,-0.05891263,0.01727481,0.427059,-0.05778134,0.04969167,0.4211258,-0.04715196,0.0736361,0.4174699,0.05831578,0.04984387,0.4208339,0.02650329,-0.001075762,0.4066387,0.03111516,0.07822415,0.4095467,0.06016948,0.08344138,0.4247312,0.0126177,0.06855214,0.4073248,0.01795548,0.02751352,0.3997692,0.02000056,0.09101196,0.4005134,0.02079001,0.073627,0.4136198,0.04346121,0.0958911,0.4067766,0.06197608,0.01790736,0.426465,0.0002888672,0.0007544994,0.3929988,0.03183368,0.07002342,0.4118962,-0.0320898,0.07021622,0.4119188,0.04691843,0.0734349,0.4174672,-0.05886202,-0.0132164,0.4656968,
21:09:26,,0.9951173,-0.09774018,0.001302092,0.01366522,0.005424113,0.2316986,0.936273,0.004707602,-0.03535412,0.4043412,0.003089411,-0.01204271,0.3940493,0.002056048,-0.001803387,0.3931878,0.0001441845,0.0246035,0.3901893,-2.345662E-06,0.03951677,0.3764086,0.0004072873,0.009618242,0.3885604,1.466892E-05,0.07884354,0.3985366,-1.067783E-05,0.124122,0.3981826,-0.02380148,-0.002379643,0.4055016,-0.06094774,0.08406754,0.4253998,-0.01275143,0.06844075,0.4074016,-0.01756812,0.0268978,0.3995638,-0.02101065,0.07383205,0.4135838,-0.04654761,0.09835024,0.4077016,-0.03152011,0.07872649,0.4096451,-0.02132123,0.09380436,0.4005444,-0.05833751,0.0162788,0.4268322,-0.05767757,0.04932467,0.4209933,-0.04712393,0.07358649,0.4174811,0.05824156,0.0496322,0.4210386,0.02628093,-0.002043889,0.4062898,0.03127669,0.07849088,0.4095542,0.0603607,0.08367267,0.4248653,0.01264839,0.06849157,0.4073411,0.01777031,0.02709326,0.3993009,0.02049707,0.09175096,0.4005947,0.0208485,0.07374112,0.4135945,0.04411736,0.09660554,0.4071099,0.06170379,0.01715873,0.4274701,0.0004785537,0.0002754701,0.3920789,0.03192047,0.07011364,0.4119015,-0.03203705,0.07018616,0.4119142,0.04697496,0.07351478,0.4174413,-0.05841855,-0.01367727,0.4654993,
21:09:26,,0.9951173,-0.09774018,0.001302092,0.01366522,0.005424113,0.2316986,0.936273,0.004707602,-0.03535412,0.4043412,0.003089411,-0.01204271,0.3940493,0.002056048,-0.001803387,0.3931878,0.0001441845,0.0246035,0.3901893,-2.345662E-06,0.03951677,0.3764086,0.0004072873,0.009618242,0.3885604,1.466892E-05,0.07884354,0.3985366,-1.067783E-05,0.124122,0.3981826,-0.02380148,-0.002379643,0.4055016,-0.06094774,0.08406754,0.4253998,-0.01275143,0.06844075,0.4074016,-0.01756812,0.0268978,0.3995638,-0.02101065,0.07383205,0.4135838,-0.04654761,0.09835024,0.4077016,-0.03152011,0.07872649,0.4096451,-0.02132123,0.09380436,0.4005444,-0.05833751,0.0162788,0.4268322,-0.05767757,0.04932467,0.4209933,-0.04712393,0.07358649,0.4174811,0.05824156,0.0496322,0.4210386,0.02628093,-0.002043889,0.4062898,0.03127669,0.07849088,0.4095542,0.0603607,0.08367267,0.4248653,0.01264839,0.06849157,0.4073411,0.01777031,0.02709326,0.3993009,0.02049707,0.09175096,0.4005947,0.0208485,0.07374112,0.4135945,0.04411736,0.09660554,0.4071099,0.06170379,0.01715873,0.4274701,0.0004785537,0.0002754701,0.3920789,0.03192047,0.07011364,0.4119015,-0.03203705,0.07018616,0.4119142,0.04697496,0.07351478,0.4174413,-0.05841855,-0.01367727,0.4654993,
21:09:26,,0.9951136,-0.09765022,0.006296338,0.01318564,0.006257189,0.2318182,0.9366782,0.003396765,-0.03595691,0.4046724,0.002177971,-0.01266794,0.3940666,0.001434786,-0.002343802,0.3930915,9.380142E-05,0.02466976,0.3900622,-9.721415E-07,0.03953504,0.376417,0.0002786793,0.00981242,0.3882962,9.075259E-06,0.0787078,0.3984875,-7.119884E-06,0.1239461,0.3981403,-0.02399547,-0.00204119,0.4054308,-0.06086553,0.08407166,0.4252799,-0.01271973,0.06848513,0.4073834,-0.0174982,0.02701685,0.3994935,-0.02099069,0.07388435,0.4135634,-0.04622845,0.09819578,0.4075769,-0.03152748,0.07883431,0.4096105,-0.02111188,0.09344593,0.4004841,-0.0585919,0.01660554,0.426864,-0.05772694,0.04947283,0.4209741,-0.0471077,0.0736227,0.417442,0.05811344,0.04970524,0.4209344,0.02566019,-0.001879216,0.4060207,0.03119159,0.07836952,0.4095436,0.06024237,0.08354938,0.4247688,0.01261338,0.06854568,0.4073307,0.01764464,0.02715986,0.3992928,0.02013688,0.0912221,0.4005257,0.02081274,0.07369168,0.4136042,0.04371333,0.09619366,0.4068969,0.06106719,0.01727543,0.4270559,0.000316785,0.0004817041,0.3917555,0.03187547,0.07007791,0.4119034,-0.03206168,0.07022738,0.4119156,0.04694289,0.07347941,0.4174463,-0.05881501,-0.01361872,0.4659661,
21:09:26,,0.9951136,-0.09765022,0.006296338,0.01318564,0.006257189,0.2318182,0.9366782,0.003396765,-0.03595691,0.4046724,0.002177971,-0.01266794,0.3940666,0.001434786,-0.002343802,0.3930915,9.380142E-05,0.02466976,0.3900622,-9.721415E-07,0.03953504,0.376417,0.0002786793,0.00981242,0.3882962,9.075259E-06,0.0787078,0.3984875,-7.119884E-06,0.1239461,0.3981403,-0.02399547,-0.00204119,0.4054308,-0.06086553,0.08407166,0.4252799,-0.01271973,0.06848513,0.4073834,-0.0174982,0.02701685,0.3994935,-0.02099069,0.07388435,0.4135634,-0.04622845,0.09819578,0.4075769,-0.03152748,0.07883431,0.4096105,-0.02111188,0.09344593,0.4004841,-0.0585919,0.01660554,0.426864,-0.05772694,0.04947283,0.4209741,-0.0471077,0.0736227,0.417442,0.05811344,0.04970524,0.4209344,0.02566019,-0.001879216,0.4060207,0.03119159,0.07836952,0.4095436,0.06024237,0.08354938,0.4247688,0.01261338,0.06854568,0.4073307,0.01764464,0.02715986,0.3992928,0.02013688,0.0912221,0.4005257,0.02081274,0.07369168,0.4136042,0.04371333,0.09619366,0.4068969,0.06106719,0.01727543,0.4270559,0.000316785,0.0004817041,0.3917555,0.03187547,0.07007791,0.4119034,-0.03206168,0.07022738,0.4119156,0.04694289,0.07347941,0.4174463,-0.05881501,-0.01361872,0.4659661,
21:09:26,,0.9950777,-0.09801222,0.0005169004,0.01461821,0.005334839,0.2321116,0.9368221,0.003208427,-0.03614277,0.4047329,0.00189096,-0.01221404,0.394359,0.001163318,-0.001957127,0.3936328,1.877995E-06,0.02473965,0.3903357,-3.266453E-06,0.03957086,0.3764776,8.186854E-05,0.01003425,0.388748,1.284349E-05,0.07879844,0.3985204,-9.787574E-06,0.1240625,0.3981687,-0.02480825,-0.00174988,0.4063473,-0.06090275,0.08405639,0.4253437,-0.01273726,0.06845821,0.4073944,-0.01769427,0.02725088,0.3999711,-0.02099885,0.07384686,0.4135776,-0.04637237,0.09824564,0.4076379,-0.0315149,0.07875395,0.4096312,-0.02122303,0.09362549,0.4005207,-0.05874841,0.01657531,0.427192,-0.05775468,0.04948796,0.4210927,-0.04711474,0.07359613,0.4174666,0.05815133,0.04974135,0.4208574,0.02582916,-0.001296222,0.4060265,0.03122524,0.07836258,0.409567,0.06033944,0.08360223,0.4248812,0.01264566,0.06848589,0.407341,0.01771025,0.02739722,0.3995781,0.02041996,0.09161008,0.4006193,0.02084105,0.07368058,0.413611,0.04403992,0.09645788,0.4070883,0.06110498,0.01760685,0.4267144,0.0001008542,0.0006904847,0.392402,0.03188105,0.07005816,0.4119005,-0.03204136,0.07019958,0.4119146,0.04696214,0.07347435,0.417469,-0.05885711,-0.01360199,0.466079,
